N,2N,3N,I2
0,0.0303,0.1429,0.0246
0.1324,0.0556,0.1055,0.0079
0.1613,0.2319,0.1481,0.0381
0.169,0.0114,0.1053,0.0152
0.1,0.0568,0.1624,0.0957
0.0526,0.0745,0.0515,0.1554
0.3295,0.2429,0.0208,0.0667
0.4688,0.0303,0.0707,0.4345
0.125,0.1582,0.1073,0.0246
0.1,0.0702,0.037,0.0588
0.027,0.0875,0,0.1755
0.5128,0.0479,0.0417,0.04
0.2195,0.0667,0.0417,0.2235
0.0303,0.2206,0.105,0.0381
0.5278,0.0588,0.087,0.0919
0.125,0.2654,0.0068,0.0575
0.1053,0.0185,0.0417,0.0108
0.1795,0.0978,0.0741,0.0919
0.1034,0.1447,0.1053,0.1429
0.2716,0.1757,0.1042,0.0667
0.0303,0.0323,0.0833,0.087
0.4237,0.0671,0.1167,0.1232
0.0286,0.0235,0,0.1115
0.1571,0.0375,0.0417,0.1736
0.0286,0.0702,0.1486,0.0595
0.32,0.2202,0.105,0.0244
0.1613,0,0.025,0.006
0.1111,0.0119,0.1462,0.0833
0.4769,0.0238,0.0991,0.0562
0.5405,0.2319,0.0582,0.0617
0.15,0.1111,0.0167,0.0398
0.2892,0.0349,0.1204,0.2071
0.3469,0.0323,0.0312,0.0625
0.0857,0.045,0.1573,0.05
0.2805,0.0066,0.0417,0.4569
0.4848,0.1382,0.1441,0.0833
0.4516,0.0357,0.0081,0.1053
0.5641,0.0641,0.0104,0.108
0.0781,0,0.0929,0.0788
0.439,0.045,0.1573,0.05
0.475,0.0323,0.1389,0.087
0,0.1528,0.1081,0.1419
0.2,0.0702,0.0963,0.0562
0.4925,0.0046,0.0789,0
0.1282,0.1429,0.0284,0.0103
0.2195,0.0381,0.0104,0.101
0.15,0.1179,0.0556,0.1115
0.0588,0.0357,0.2874,0.0833
0.4426,0.094,0.0476,0.0242
0.2,0.1351,0.0774,0.1667
0.0556,0.0438,0.0929,0.2727
0,0.1022,0.025,0.0305
0.2195,0.0677,0.0765,0.0236
0.5526,0.1354,0.1142,0.0667
0.4516,0.0238,0.0758,0.043
0,0.2206,0.0868,0.1667
0.0909,0.1528,0.1299,0.0471
0.1,0.0303,0.0871,0.0769
0.4333,0.1179,0.1081,0.2426
0.5211,0.0357,0.0101,0.0804
0.0286,0.0235,0.1389,0.0737
0.3191,0.1034,0.0753,0.05
0.1918,0.0677,0.1958,0.0632
0.234,0.0707,0.0889,0.1118
0,0.1488,0.069,0.043
0.5946,0.1081,0.1037,0.0547
0.1061,0.0167,0.1111,0.1357
0.2727,0.0152,0,0.0611
0.0635,0.0513,0.0686,0.05
0.0909,0.0946,0.0106,0.1064
0.5072,0.0939,0.1389,0.05
0.1429,0.1296,0.0215,0.089
0.1571,0.1488,0.0404,0.0455
0.125,0.1429,0.1714,0.0076
0.169,0.0101,0.0106,0.0595
0.1351,0.0081,0.1211,0.0244
0.1795,0.1619,0.1908,0.1271
0.1324,0.1348,0.0104,0.0769
0.0909,0.1953,0.0372,0.1053
0.1061,0.0238,0.025,0.023
0.7353,0.025,0.0163,0.1667
0.1282,0.0909,0.1441,0.0244
0.1429,0.0323,0.2059,0.1524
0.1111,0.0513,0.0801,0.1053
0.0588,0.1619,0.0882,0.0176
0.2381,0.1176,0.0167,0.1524
0.1571,0.1389,0.0686,0.1125
0.0923,0.2323,0.1905,0.0455
0.2857,0.0556,0.0101,0.0174
0.0526,0.0345,0.0338,0.0729
0.3043,0.0929,0.1204,0.1295
0.1724,0.0513,0.0104,0.1429
0.0328,0.0066,0,0.0833
0.1818,0.1087,0.0372,0.1351
0.234,0.1714,0.0556,0.0111
0.122,0.0625,0.0427,0.0788
0.0172,0.02,0.2533,0.0455
